Trip 0:
  Lon: -80.115090, Lat: 26.787754
  Lon: -80.139811, Lat: 26.782667
  Lon: -80.139719, Lat: 26.782749
  Lon: -80.139795, Lat: 26.783199
  Lon: -80.139702, Lat: 26.783281
  Lon: -80.139664, Lat: 26.783912
  Lon: -80.139631, Lat: 26.784425
  Lon: -80.139631, Lat: 26.784508
  Lon: -80.139366, Lat: 26.785002
  Lon: -80.139365, Lat: 26.785084
  Lon: -80.139289, Lat: 26.785565
  Lon: -80.139288, Lat: 26.785647
  Lon: -80.138984, Lat: 26.786133
  Lon: -80.138984, Lat: 26.786216
  Lon: -80.138926, Lat: 26.786554
  Lon: -80.138925, Lat: 26.786637
  Lon: -80.138605, Lat: 26.787359
  Lon: -80.138604, Lat: 26.787442
  Lon: -80.138514, Lat: 26.787995
  Lon: -80.138514, Lat: 26.788078
  Lon: -80.138555, Lat: 26.788138
  Lon: -80.138554, Lat: 26.788221
  Lon: -80.138544, Lat: 26.788325
  Lon: -80.138543, Lat: 26.788407
  Lon: -80.138492, Lat: 26.789493
  Lon: -80.138251, Lat: 26.795577
  Lon: -80.138118, Lat: 26.797162
  Lon: -80.138117, Lat: 26.797245
  Lon: -80.137979, Lat: 26.797854
  Lon: -80.137908, Lat: 26.797981
  Lon: -80.137907, Lat: 26.798063
  Lon: -80.137775, Lat: 26.798381
  Lon: -80.137573, Lat: 26.798990
  Lon: -80.137310, Lat: 26.800020
  Lon: -80.137229, Lat: 26.800109
  Lon: -80.137169, Lat: 26.800097
  Lon: -80.136874, Lat: 26.799919
  Lon: -80.136718, Lat: 26.799871
  Lon: -80.136497, Lat: 26.799728
  Lon: -80.135957, Lat: 26.799311
  Lon: -80.135244, Lat: 26.798810
  Lon: -80.134507, Lat: 26.798258
  Lon: -80.134095, Lat: 26.797980
  Lon: -80.133386, Lat: 26.797647
  Lon: -80.132927, Lat: 26.797342
  Lon: -80.132766, Lat: 26.797235
  Lon: -80.132548, Lat: 26.796944
  Lon: -80.132448, Lat: 26.796651
  Lon: -80.132184, Lat: 26.796484
  Lon: -80.131258, Lat: 26.795961
  Lon: -80.122677, Lat: 26.790313
  Lon: -80.115655, Lat: 26.785595
  Lon: -80.115505, Lat: 26.785582
  Lon: -80.115285, Lat: 26.786541
  Lon: -80.115163, Lat: 26.787094
  Lon: -80.115158, Lat: 26.787287
  Lon: -80.115090, Lat: 26.787754

Trip 1:
  Lon: -80.115090, Lat: 26.787754
  Lon: -80.115158, Lat: 26.787287
  Lon: -80.115163, Lat: 26.787094
  Lon: -80.115285, Lat: 26.786458
  Lon: -80.115415, Lat: 26.785583
  Lon: -80.115412, Lat: 26.785542
  Lon: -80.115416, Lat: 26.785501
  Lon: -80.115413, Lat: 26.785460
  Lon: -80.115308, Lat: 26.785375
  Lon: -80.115318, Lat: 26.784535
  Lon: -80.115376, Lat: 26.783997
  Lon: -80.115513, Lat: 26.782844
  Lon: -80.115544, Lat: 26.782139
  Lon: -80.115594, Lat: 26.780764
  Lon: -80.115566, Lat: 26.779480
  Lon: -80.115600, Lat: 26.778763
  Lon: -80.115632, Lat: 26.777972
  Lon: -80.115686, Lat: 26.776661
  Lon: -80.115715, Lat: 26.776021
  Lon: -80.115866, Lat: 26.774545
  Lon: -80.115891, Lat: 26.773946
  Lon: -80.116009, Lat: 26.772780
  Lon: -80.116099, Lat: 26.772783
  Lon: -80.116275, Lat: 26.771786
  Lon: -80.116287, Lat: 26.771511
  Lon: -80.116288, Lat: 26.771428
  Lon: -80.116301, Lat: 26.771047
  Lon: -80.116313, Lat: 26.770741
  Lon: -80.116328, Lat: 26.770362
  Lon: -80.116350, Lat: 26.769838
  Lon: -80.116370, Lat: 26.769345
  Lon: -80.116395, Lat: 26.768719
  Lon: -80.116416, Lat: 26.768188
  Lon: -80.116434, Lat: 26.767791
  Lon: -80.116421, Lat: 26.767431
  Lon: -80.116367, Lat: 26.766719
  Lon: -80.116459, Lat: 26.766719
  Lon: -80.116459, Lat: 26.766637
  Lon: -80.116428, Lat: 26.766002
  Lon: -80.116481, Lat: 26.765261
  Lon: -80.116482, Lat: 26.765179
  Lon: -80.116488, Lat: 26.765149
  Lon: -80.116489, Lat: 26.765066
  Lon: -80.116436, Lat: 26.764026
  Lon: -80.116441, Lat: 26.763994
  Lon: -80.116579, Lat: 26.763467
  Lon: -80.116580, Lat: 26.763384
  Lon: -80.116598, Lat: 26.763142
  Lon: -80.116651, Lat: 26.762711
  Lon: -80.116651, Lat: 26.762628
  Lon: -80.116671, Lat: 26.762506
  Lon: -80.116672, Lat: 26.762424
  Lon: -80.116727, Lat: 26.762017
  Lon: -80.116807, Lat: 26.761979
  Lon: -80.116852, Lat: 26.761979
  Lon: -80.119793, Lat: 26.762053
  Lon: -80.120315, Lat: 26.761352
  Lon: -80.120622, Lat: 26.761354
  Lon: -80.123116, Lat: 26.761266
  Lon: -80.123573, Lat: 26.761435
  Lon: -80.123853, Lat: 26.761442
  Lon: -80.124213, Lat: 26.760758
  Lon: -80.124566, Lat: 26.760763
  Lon: -80.124658, Lat: 26.760764
  Lon: -80.124213, Lat: 26.760758
  Lon: -80.123853, Lat: 26.761442
  Lon: -80.123573, Lat: 26.761435
  Lon: -80.123116, Lat: 26.761266
  Lon: -80.120622, Lat: 26.761354
  Lon: -80.120315, Lat: 26.761352
  Lon: -80.119841, Lat: 26.762602
  Lon: -80.116729, Lat: 26.762690
  Lon: -80.116597, Lat: 26.763224
  Lon: -80.116448, Lat: 26.763820
  Lon: -80.116447, Lat: 26.763902
  Lon: -80.116441, Lat: 26.763912
  Lon: -80.116435, Lat: 26.764108
  Lon: -80.116422, Lat: 26.764590
  Lon: -80.116422, Lat: 26.764672
  Lon: -80.116397, Lat: 26.765065
  Lon: -80.116390, Lat: 26.765178
  Lon: -80.116429, Lat: 26.765979
  Lon: -80.116367, Lat: 26.766636
  Lon: -80.116367, Lat: 26.766719
  Lon: -80.116349, Lat: 26.766991
  Lon: -80.116348, Lat: 26.767074
  Lon: -80.116329, Lat: 26.767348
  Lon: -80.116329, Lat: 26.767430
  Lon: -80.116342, Lat: 26.767708
  Lon: -80.116342, Lat: 26.767790
  Lon: -80.116324, Lat: 26.768105
  Lon: -80.116324, Lat: 26.768188
  Lon: -80.116304, Lat: 26.768636
  Lon: -80.116303, Lat: 26.768718
  Lon: -80.116279, Lat: 26.769262
  Lon: -80.116278, Lat: 26.769345
  Lon: -80.116258, Lat: 26.769837
  Lon: -80.116257, Lat: 26.769920
  Lon: -80.116236, Lat: 26.770361
  Lon: -80.116236, Lat: 26.770443
  Lon: -80.116221, Lat: 26.770740
  Lon: -80.116220, Lat: 26.770822
  Lon: -80.116210, Lat: 26.771046
  Lon: -80.116209, Lat: 26.771129
  Lon: -80.116196, Lat: 26.771428
  Lon: -80.116195, Lat: 26.771510
  Lon: -80.116183, Lat: 26.771786
  Lon: -80.116182, Lat: 26.771868
  Lon: -80.116170, Lat: 26.772115
  Lon: -80.116170, Lat: 26.772197
  Lon: -80.116157, Lat: 26.772486
  Lon: -80.116157, Lat: 26.772568
  Lon: -80.116099, Lat: 26.772783
  Lon: -80.116009, Lat: 26.772780
  Lon: -80.115919, Lat: 26.773419
  Lon: -80.115798, Lat: 26.774028
  Lon: -80.115773, Lat: 26.774627
  Lon: -80.115742, Lat: 26.775283
  Lon: -80.115723, Lat: 26.778055
  Lon: -80.115692, Lat: 26.778764
  Lon: -80.115659, Lat: 26.779398
  Lon: -80.115658, Lat: 26.779481
  Lon: -80.115622, Lat: 26.779639
  Lon: -80.115533, Lat: 26.780107
  Lon: -80.115532, Lat: 26.780190
  Lon: -80.115502, Lat: 26.780764
  Lon: -80.115502, Lat: 26.780846
  Lon: -80.115480, Lat: 26.781430
  Lon: -80.115480, Lat: 26.781513
  Lon: -80.115452, Lat: 26.782138
  Lon: -80.115451, Lat: 26.782221
  Lon: -80.115421, Lat: 26.782926
  Lon: -80.115397, Lat: 26.783508
  Lon: -80.115375, Lat: 26.784080
  Lon: -80.115318, Lat: 26.784535
  Lon: -80.115308, Lat: 26.785375
  Lon: -80.115163, Lat: 26.787094
  Lon: -80.115158, Lat: 26.787287
  Lon: -80.115090, Lat: 26.787754

Trip 2:
  Lon: -80.115090, Lat: 26.787754
  Lon: -80.115052, Lat: 26.787507
  Lon: -80.114482, Lat: 26.787388
  Lon: -80.114227, Lat: 26.787381
  Lon: -80.113549, Lat: 26.787278
  Lon: -80.112868, Lat: 26.787263
  Lon: -80.110531, Lat: 26.787198
  Lon: -80.109655, Lat: 26.787170
  Lon: -80.107246, Lat: 26.787137
  Lon: -80.107220, Lat: 26.787133
  Lon: -80.107027, Lat: 26.787130
  Lon: -80.106968, Lat: 26.787068
  Lon: -80.106899, Lat: 26.786971
  Lon: -80.106877, Lat: 26.786985
  Lon: -80.106807, Lat: 26.786971
  Lon: -80.099545, Lat: 26.786931
  Lon: -80.099535, Lat: 26.787199
  Lon: -80.098552, Lat: 26.787184
  Lon: -80.098556, Lat: 26.787275
  Lon: -80.098458, Lat: 26.787273
  Lon: -80.098325, Lat: 26.786316
  Lon: -80.098137, Lat: 26.786139
  Lon: -80.096771, Lat: 26.786121
  Lon: -80.095410, Lat: 26.785985
  Lon: -80.095410, Lat: 26.786068
  Lon: -80.095306, Lat: 26.786338
  Lon: -80.095398, Lat: 26.786339
  Lon: -80.095397, Lat: 26.786421
  Lon: -80.095305, Lat: 26.786420
  Lon: -80.095277, Lat: 26.786804
  Lon: -80.095369, Lat: 26.786804
  Lon: -80.095368, Lat: 26.786887
  Lon: -80.095276, Lat: 26.786886
  Lon: -80.095266, Lat: 26.787053
  Lon: -80.095358, Lat: 26.787053
  Lon: -80.095357, Lat: 26.787136
  Lon: -80.095265, Lat: 26.787135
  Lon: -80.095320, Lat: 26.787864
  Lon: -80.095228, Lat: 26.787863
  Lon: -80.095227, Lat: 26.787946
  Lon: -80.095319, Lat: 26.787946
  Lon: -80.095285, Lat: 26.788675
  Lon: -80.095193, Lat: 26.788675
  Lon: -80.095193, Lat: 26.788757
  Lon: -80.095285, Lat: 26.788758
  Lon: -80.095250, Lat: 26.789322
  Lon: -80.095250, Lat: 26.789404
  Lon: -80.095158, Lat: 26.789404
  Lon: -80.095152, Lat: 26.789400
  Lon: -80.095158, Lat: 26.789321
  Lon: -80.095153, Lat: 26.789317
  Lon: -80.095061, Lat: 26.789317
  Lon: -80.095060, Lat: 26.789399
  Lon: -80.094802, Lat: 26.789381
  Lon: -80.094802, Lat: 26.789299
  Lon: -80.094710, Lat: 26.789298
  Lon: -80.094710, Lat: 26.789381
  Lon: -80.094587, Lat: 26.789363
  Lon: -80.094151, Lat: 26.789504
  Lon: -80.094077, Lat: 26.789483
  Lon: -80.094078, Lat: 26.789400
  Lon: -80.093986, Lat: 26.789399
  Lon: -80.093923, Lat: 26.789392
  Lon: -80.093986, Lat: 26.789482
  Lon: -80.093922, Lat: 26.789474
  Lon: -80.093830, Lat: 26.789474
  Lon: -80.093806, Lat: 26.789467
  Lon: -80.093831, Lat: 26.789391
  Lon: -80.093806, Lat: 26.789384
  Lon: -80.093714, Lat: 26.789383
  Lon: -80.093714, Lat: 26.789466
  Lon: -80.093389, Lat: 26.789452
  Lon: -80.093359, Lat: 26.789456
  Lon: -80.093297, Lat: 26.789452
  Lon: -80.093267, Lat: 26.789455
  Lon: -80.093389, Lat: 26.789370
  Lon: -80.093359, Lat: 26.789373
  Lon: -80.093297, Lat: 26.789369
  Lon: -80.093267, Lat: 26.789372
  Lon: -80.093017, Lat: 26.789351
  Lon: -80.093016, Lat: 26.789433
  Lon: -80.092924, Lat: 26.789433
  Lon: -80.092925, Lat: 26.789350
  Lon: -80.092662, Lat: 26.789342
  Lon: -80.092662, Lat: 26.789424
  Lon: -80.092570, Lat: 26.789424
  Lon: -80.092570, Lat: 26.789341
  Lon: -80.091821, Lat: 26.789308
  Lon: -80.091820, Lat: 26.789391
  Lon: -80.091812, Lat: 26.789565
  Lon: -80.091811, Lat: 26.789648
  Lon: -80.091807, Lat: 26.789753
  Lon: -80.091714, Lat: 26.789835
  Lon: -80.091699, Lat: 26.790340
  Lon: -80.091699, Lat: 26.790423
  Lon: -80.091764, Lat: 26.791211
  Lon: -80.091672, Lat: 26.791210
  Lon: -80.091672, Lat: 26.791293
  Lon: -80.091764, Lat: 26.791293
  Lon: -80.091650, Lat: 26.792036
  Lon: -80.091742, Lat: 26.792037
  Lon: -80.091741, Lat: 26.792120
  Lon: -80.091649, Lat: 26.792119
  Lon: -80.091641, Lat: 26.792345
  Lon: -80.091733, Lat: 26.792346
  Lon: -80.091732, Lat: 26.792428
  Lon: -80.091640, Lat: 26.792427
  Lon: -80.091722, Lat: 26.792860
  Lon: -80.091630, Lat: 26.792859
  Lon: -80.091629, Lat: 26.792942
  Lon: -80.091721, Lat: 26.792942
  Lon: -80.091849, Lat: 26.792947
  Lon: -80.091850, Lat: 26.792864
  Lon: -80.091942, Lat: 26.792865
  Lon: -80.091941, Lat: 26.792947
  Lon: -80.091932, Lat: 26.793241
  Lon: -80.091932, Lat: 26.793323
  Lon: -80.091840, Lat: 26.793323
  Lon: -80.091840, Lat: 26.793240
  Lon: -80.091707, Lat: 26.793282
  Lon: -80.091615, Lat: 26.793282
  Lon: -80.091615, Lat: 26.793364
  Lon: -80.091707, Lat: 26.793365
  Lon: -80.091908, Lat: 26.793655
  Lon: -80.091816, Lat: 26.793655
  Lon: -80.091816, Lat: 26.793737
  Lon: -80.091908, Lat: 26.793738
  Lon: -80.091802, Lat: 26.794226
  Lon: -80.091894, Lat: 26.794227
  Lon: -80.091894, Lat: 26.794309
  Lon: -80.091802, Lat: 26.794309
  Lon: -80.091776, Lat: 26.794642
  Lon: -80.091868, Lat: 26.794643
  Lon: -80.091867, Lat: 26.794726
  Lon: -80.091775, Lat: 26.794725
  Lon: -80.091786, Lat: 26.795051
  Lon: -80.091694, Lat: 26.795051
  Lon: -80.091693, Lat: 26.795133
  Lon: -80.091494, Lat: 26.795541
  Lon: -80.091493, Lat: 26.795624
  Lon: -80.091394, Lat: 26.796050
  Lon: -80.091394, Lat: 26.796133
  Lon: -80.091093, Lat: 26.796562
  Lon: -80.091093, Lat: 26.796645
  Lon: -80.090993, Lat: 26.797039
  Lon: -80.090993, Lat: 26.797122
  Lon: -80.090983, Lat: 26.797229
  Lon: -80.090862, Lat: 26.797466
  Lon: -80.090867, Lat: 26.797487
  Lon: -80.090947, Lat: 26.797502
  Lon: -80.091039, Lat: 26.797502
  Lon: -80.091229, Lat: 26.797522
  Lon: -80.091321, Lat: 26.797523
  Lon: -80.091513, Lat: 26.797610
  Lon: -80.091512, Lat: 26.797620
  Lon: -80.091513, Lat: 26.797692
  Lon: -80.091605, Lat: 26.797693
  Lon: -80.091604, Lat: 26.797621
  Lon: -80.091605, Lat: 26.797610
  Lon: -80.091955, Lat: 26.797630
  Lon: -80.092047, Lat: 26.797631
  Lon: -80.092540, Lat: 26.797581
  Lon: -80.092631, Lat: 26.797664
  Lon: -80.092941, Lat: 26.797681
  Lon: -80.093033, Lat: 26.797682
  Lon: -80.093261, Lat: 26.797695
  Lon: -80.093353, Lat: 26.797696
  Lon: -80.093767, Lat: 26.797721
  Lon: -80.093859, Lat: 26.797722
  Lon: -80.094300, Lat: 26.797664
  Lon: -80.094392, Lat: 26.797665
  Lon: -80.094817, Lat: 26.797792
  Lon: -80.094908, Lat: 26.797793
  Lon: -80.095328, Lat: 26.797710
  Lon: -80.095349, Lat: 26.797600
  Lon: -80.095350, Lat: 26.797518
  Lon: -80.095442, Lat: 26.797518
  Lon: -80.095441, Lat: 26.797601
  Lon: -80.095954, Lat: 26.797545
  Lon: -80.096046, Lat: 26.797545
  Lon: -80.096249, Lat: 26.797639
  Lon: -80.096341, Lat: 26.797639
  Lon: -80.096358, Lat: 26.797806
  Lon: -80.096266, Lat: 26.797805
  Lon: -80.096266, Lat: 26.797888
  Lon: -80.096358, Lat: 26.797888
  Lon: -80.096506, Lat: 26.797900
  Lon: -80.096507, Lat: 26.797818
  Lon: -80.096599, Lat: 26.797818
  Lon: -80.096598, Lat: 26.797901
  Lon: -80.096745, Lat: 26.797829
  Lon: -80.096744, Lat: 26.797911
  Lon: -80.096836, Lat: 26.797912
  Lon: -80.096837, Lat: 26.797830
  Lon: -80.096886, Lat: 26.797596
  Lon: -80.097268, Lat: 26.797587
  Lon: -80.097478, Lat: 26.797596
  Lon: -80.098146, Lat: 26.797743
  Lon: -80.098238, Lat: 26.797744
  Lon: -80.098239, Lat: 26.797661
  Lon: -80.098277, Lat: 26.797621
  Lon: -80.098292, Lat: 26.797531
  Lon: -80.098301, Lat: 26.797434
  Lon: -80.099151, Lat: 26.797470
  Lon: -80.099157, Lat: 26.797711
  Lon: -80.099148, Lat: 26.797747
  Lon: -80.099148, Lat: 26.797829
  Lon: -80.099240, Lat: 26.797830
  Lon: -80.099757, Lat: 26.797846
  Lon: -80.099843, Lat: 26.797847
  Lon: -80.099849, Lat: 26.797846
  Lon: -80.099935, Lat: 26.797848
  Lon: -80.099936, Lat: 26.797765
  Lon: -80.099850, Lat: 26.797764
  Lon: -80.099844, Lat: 26.797765
  Lon: -80.099758, Lat: 26.797763
  Lon: -80.099240, Lat: 26.797747
  Lon: -80.099157, Lat: 26.797711
  Lon: -80.099151, Lat: 26.797470
  Lon: -80.098301, Lat: 26.797434
  Lon: -80.098292, Lat: 26.797531
  Lon: -80.098277, Lat: 26.797621
  Lon: -80.098147, Lat: 26.797661
  Lon: -80.097478, Lat: 26.797596
  Lon: -80.096342, Lat: 26.797557
  Lon: -80.096250, Lat: 26.797556
  Lon: -80.096046, Lat: 26.797628
  Lon: -80.095954, Lat: 26.797627
  Lon: -80.095965, Lat: 26.797768
  Lon: -80.095964, Lat: 26.797851
  Lon: -80.095872, Lat: 26.797850
  Lon: -80.095873, Lat: 26.797768
  Lon: -80.095420, Lat: 26.797711
  Lon: -80.095419, Lat: 26.797794
  Lon: -80.095327, Lat: 26.797793
  Lon: -80.094909, Lat: 26.797710
  Lon: -80.094817, Lat: 26.797709
  Lon: -80.094392, Lat: 26.797747
  Lon: -80.094300, Lat: 26.797747
  Lon: -80.093860, Lat: 26.797639
  Lon: -80.093768, Lat: 26.797639
  Lon: -80.093353, Lat: 26.797613
  Lon: -80.093261, Lat: 26.797613
  Lon: -80.093033, Lat: 26.797599
  Lon: -80.092942, Lat: 26.797599
  Lon: -80.092632, Lat: 26.797582
  Lon: -80.092540, Lat: 26.797663
  Lon: -80.092048, Lat: 26.797548
  Lon: -80.091956, Lat: 26.797548
  Lon: -80.091604, Lat: 26.797538
  Lon: -80.091512, Lat: 26.797538
  Lon: -80.091321, Lat: 26.797606
  Lon: -80.091229, Lat: 26.797605
  Lon: -80.091038, Lat: 26.797585
  Lon: -80.090946, Lat: 26.797584
  Lon: -80.090867, Lat: 26.797570
  Lon: -80.090775, Lat: 26.797569
  Lon: -80.090788, Lat: 26.797606
  Lon: -80.090408, Lat: 26.797884
  Lon: -80.090426, Lat: 26.798273
  Lon: -80.090333, Lat: 26.798355
  Lon: -80.090323, Lat: 26.798554
  Lon: -80.090323, Lat: 26.798637
  Lon: -80.090382, Lat: 26.799249
  Lon: -80.090289, Lat: 26.799331
  Lon: -80.090367, Lat: 26.799701
  Lon: -80.090366, Lat: 26.799783
  Lon: -80.090274, Lat: 26.799783
  Lon: -80.090275, Lat: 26.799700
  Lon: -80.090381, Lat: 26.799332
  Lon: -80.090290, Lat: 26.799249
  Lon: -80.090415, Lat: 26.798637
  Lon: -80.090415, Lat: 26.798555
  Lon: -80.090425, Lat: 26.798355
  Lon: -80.090334, Lat: 26.798272
  Lon: -80.090555, Lat: 26.797735
  Lon: -80.090696, Lat: 26.797606
  Lon: -80.090697, Lat: 26.797523
  Lon: -80.090789, Lat: 26.797524
  Lon: -80.090775, Lat: 26.797487
  Lon: -80.090862, Lat: 26.797466
  Lon: -80.090983, Lat: 26.797229
  Lon: -80.090901, Lat: 26.797121
  Lon: -80.090901, Lat: 26.797039
  Lon: -80.091184, Lat: 26.796646
  Lon: -80.091185, Lat: 26.796563
  Lon: -80.091302, Lat: 26.796132
  Lon: -80.091302, Lat: 26.796050
  Lon: -80.091585, Lat: 26.795624
  Lon: -80.091585, Lat: 26.795542
  Lon: -80.091785, Lat: 26.795134
  Lon: -80.095037, Lat: 26.795173
  Lon: -80.095101, Lat: 26.794749
  Lon: -80.095281, Lat: 26.794134
  Lon: -80.098071, Lat: 26.794153
  Lon: -80.098352, Lat: 26.794161
  Lon: -80.099575, Lat: 26.794212
  Lon: -80.101608, Lat: 26.794189
  Lon: -80.101611, Lat: 26.793871
  Lon: -80.101574, Lat: 26.793781
  Lon: -80.101666, Lat: 26.793699
  Lon: -80.101592, Lat: 26.793157
  Lon: -80.101684, Lat: 26.793075
  Lon: -80.101712, Lat: 26.792575
  Lon: -80.101721, Lat: 26.792550
  Lon: -80.102040, Lat: 26.792557
  Lon: -80.102133, Lat: 26.792475
  Lon: -80.102539, Lat: 26.792577
  Lon: -80.102631, Lat: 26.792578
  Lon: -80.102632, Lat: 26.792495
  Lon: -80.103079, Lat: 26.792510
  Lon: -80.103078, Lat: 26.792592
  Lon: -80.103170, Lat: 26.792593
  Lon: -80.103545, Lat: 26.792529
  Lon: -80.103636, Lat: 26.792612
  Lon: -80.104141, Lat: 26.792550
  Lon: -80.104232, Lat: 26.792634
  Lon: -80.104601, Lat: 26.792573
  Lon: -80.104692, Lat: 26.792656
  Lon: -80.105043, Lat: 26.792583
  Lon: -80.105134, Lat: 26.792666
  Lon: -80.105418, Lat: 26.792598
  Lon: -80.105509, Lat: 26.792681
  Lon: -80.106035, Lat: 26.792623
  Lon: -80.106127, Lat: 26.792623
  Lon: -80.106340, Lat: 26.792637
  Lon: -80.106432, Lat: 26.792637
  Lon: -80.106542, Lat: 26.792648
  Lon: -80.106653, Lat: 26.792500
  Lon: -80.106655, Lat: 26.792422
  Lon: -80.106654, Lat: 26.792417
  Lon: -80.106656, Lat: 26.792340
  Lon: -80.106668, Lat: 26.792158
  Lon: -80.106668, Lat: 26.792147
  Lon: -80.106669, Lat: 26.792075
  Lon: -80.106669, Lat: 26.792065
  Lon: -80.106765, Lat: 26.791826
  Lon: -80.106765, Lat: 26.791744
  Lon: -80.106690, Lat: 26.791546
  Lon: -80.106690, Lat: 26.791463
  Lon: -80.106695, Lat: 26.791421
  Lon: -80.106696, Lat: 26.791339
  Lon: -80.106801, Lat: 26.791058
  Lon: -80.106801, Lat: 26.790975
  Lon: -80.106808, Lat: 26.790715
  Lon: -80.106809, Lat: 26.790632
  Lon: -80.106825, Lat: 26.790364
  Lon: -80.106734, Lat: 26.790281
  Lon: -80.106844, Lat: 26.790006
  Lon: -80.106752, Lat: 26.789923
  Lon: -80.106860, Lat: 26.789648
  Lon: -80.106769, Lat: 26.789565
  Lon: -80.106874, Lat: 26.789281
  Lon: -80.106874, Lat: 26.789199
  Lon: -80.106883, Lat: 26.789093
  Lon: -80.106792, Lat: 26.789009
  Lon: -80.106884, Lat: 26.788831
  Lon: -80.106793, Lat: 26.788748
  Lon: -80.106874, Lat: 26.788504
  Lon: -80.106783, Lat: 26.788421
  Lon: -80.106886, Lat: 26.788169
  Lon: -80.106887, Lat: 26.788086
  Lon: -80.106902, Lat: 26.787834
  Lon: -80.106903, Lat: 26.787751
  Lon: -80.106945, Lat: 26.787457
  Lon: -80.106946, Lat: 26.787374
  Lon: -80.107027, Lat: 26.787130
  Lon: -80.107220, Lat: 26.787133
  Lon: -80.107246, Lat: 26.787219
  Lon: -80.107338, Lat: 26.787220
  Lon: -80.107559, Lat: 26.787133
  Lon: -80.107651, Lat: 26.787134
  Lon: -80.109747, Lat: 26.787170
  Lon: -80.110623, Lat: 26.787199
  Lon: -80.112960, Lat: 26.787264
  Lon: -80.114136, Lat: 26.787298
  Lon: -80.114228, Lat: 26.787299
  Lon: -80.114482, Lat: 26.787306
  Lon: -80.114806, Lat: 26.787397
